HPO ID	English term	Japanese term (expert)	Japanese term (Life Science Dictionary)	Japanese term (Mammalian Phenotype Japanese)	Japanese term (Google Translate)
HP:0000001	All	NA	全	NA	すべて
HP:0000002	Abnormality of body height	身長の異常	異常 OR 異常性 OR 奇形|身長	NA	身長の異常
HP:0000003	Multicystic kidney dysplasia	多嚢胞腎異形成	多嚢胞腎 OR 多嚢胞性腎|異形成 OR 形成異常 OR 異形成症	NA	多嚢胞腎形成異常
HP:0000005	Mode of inheritance	NA	モード OR 型 OR 機序 OR 方法 OR 最頻値|遺伝 OR 遺産	NA	継承のモード
HP:0000006	Autosomal dominant inheritance	NA	常染色体優性遺伝 OR 常染色体優性遺伝形式 OR 常染色体性優性遺伝 OR 常染色体性優性遺伝形式	NA	常染色体優性遺伝
HP:0000007	Autosomal recessive inheritance	NA	常染色体劣性遺伝 OR 常染色体劣性遺伝形式 OR 常染色体性劣性遺伝形式	NA	常染色体劣性遺伝
HP:0000008	Abnormality of female internal genitalia	女性内性器異常	異常 OR 異常性 OR 奇形|雌性 OR メス OR 女 OR 女性型 OR 女性 OR 女子 OR 雌|内生殖器	NA	女性の内部生殖器の異常
HP:0000009	Functional abnormality of the bladder	膀胱機能異常	機能的 OR 機能性 OR 機能 OR 機能上 OR 官能基|異常 OR 異常性 OR 奇形|膀胱	NA	膀胱の機能異常
HP:0000010	Recurrent urinary tract infections	反復性尿路感染症	反復性尿路感染症 OR 反復性尿路感染	NA	再発性尿路感染症
HP:0000011	Neurogenic bladder	神経因性膀胱	神経因性膀胱 OR 過敏性膀胱 OR 過敏膀胱	過敏膀胱	神経因性膀胱
HP:0000012	Urinary urgency	尿意切迫	尿意切迫 OR 尿意切迫感	NA	尿意切迫感
HP:0000013	Hypoplasia of the uterus	子宮低形成	発育不全 OR 形成不全 OR 低形成|子宮	NA	子宮の陥凹形成
HP:0000014	Abnormality of the bladder	膀胱異常	異常 OR 異常性 OR 奇形|膀胱	NA	膀胱の異常
HP:0000015	Bladder diverticulum	膀胱憩室	膀胱憩室	NA	膀胱憩室
HP:0000016	Urinary retention	尿閉	尿閉 OR 尿貯留	NA	尿貯留
HP:0000017	Nocturia	夜尿	夜間多尿	NA	NA
HP:0000019	Urinary hesitancy	排尿躊躇	尿 OR 尿中 OR 泌尿器|躊躇 OR 排尿躊躇	NA	尿の躊躇
HP:0000020	Urinary incontinence	遺尿	尿失禁	尿失禁	尿失禁
HP:0000021	Megacystis	巨大膀胱	NA	NA	NA
HP:0000022	Abnormality of male internal genitalia	男性内性器異常	異常 OR 異常性 OR 奇形|雄性 OR 男 OR 男性 OR 雄 OR オス|内生殖器	NA	男性の生殖器の異常
HP:0000023	Inguinal hernia	鼠径ヘルニア	鼠径ヘルニア OR 鼡径ヘルニア	鼠径ヘルニア	鼠径ヘルニア
HP:0000024	Prostatitis	前立腺炎	前立腺炎	NA	前立腺炎
HP:0000025	Functional abnormality of male internal genitalia	男性内性器の機能異常	機能的 OR 機能性 OR 機能 OR 機能上 OR 官能基|異常 OR 異常性 OR 奇形|雄性 OR 男 OR 男性 OR 雄 OR オス|内生殖器	NA	男性内生殖器の機能異常
HP:0000026	Male hypogonadism	男性性腺機能低下症	雄性 OR 男 OR 男性 OR 雄 OR オス|性腺機能低下症 OR 性腺機能低下 OR 性腺萎縮 OR 生殖機能不全	NA	男性性腺機能低下症
HP:0000027	Azoospermia	無精子症	無精子症	無精子症	NA
HP:0000028	Cryptorchidism	停留精巣	停留精巣	NA	クリプトキシミス
HP:0000029	Testicular atrophy	精巣萎縮	精巣萎縮症 OR 精巣萎縮	精巣萎縮症	精巣萎縮症
HP:0000030	Testicular gonadoblastoma	精巣性腺芽細胞腫	精巣 OR 睾丸|性腺芽腫	NA	精巣性腺芽細胞腫
HP:0000031	Epididymitis	精巣上体炎	精巣上体炎	NA	副睾丸炎
HP:0000032	Abnormality of male external genitalia	男性外性器異常	異常 OR 異常性 OR 奇形|雄性 OR 男 OR 男性 OR 雄 OR オス|外性器 OR 外陰部 OR 外生殖器	NA	男性外性器の異常
HP:0000033	Ambiguous genitalia, male	"性別不明の外性器, 男性"	外性器異常|雄性 OR 男 OR 男性 OR 雄 OR オス	NA	あいまい性器
HP:0000034	Hydrocele testis	陰嚢水腫	陰嚢水瘤	睾丸瘤	水星精巣
HP:0000035	Abnormality of the testis	精巣異常	異常 OR 異常性 OR 奇形|精巣	NA	精巣の異常
HP:0000036	Abnormality of the penis	陰茎異常	異常 OR 異常性 OR 奇形|陰茎 OR ペニス	NA	陰茎の異常
HP:0000037	Male pseudohermaphroditism	男性仮性半陰陽	男性仮性半陰陽	雄性偽雌雄同体	男性擬似体外性症
HP:0000039	Epispadias	尿道上裂	尿道上裂	尿道上裂	NA
HP:0000040	Long penis	陰茎拡大	長い OR 長期 OR 長く OR 久しく OR 望む OR 切望|陰茎 OR ペニス	NA	長いペニス
