term ID	term name	用語名称	非専門家向け用語名称	term textual description
HP:0000023	Inguinal hernia	鼠径ヘルニア	脱腸：おなかの中の臓器（多くは小腸）が鼠径管を通って足の付根へ飛び出してそけい部の膨らみを生じている状態	Protrusion of the contents of the abdominal cavity through the inguinal canal.
HP:0000098	Tall stature	高身長	背が高い：年齢や性別の標準に比べて身長が高い	A height above that which is expected according to age and gender norms.
HP:0000175	Cleft palate	口蓋裂	口の中の天井に相当する口蓋が裂けている状態	Cleft palate is a developmental defect of the `palate` (FMA:54549) resulting from a failure of fusion of the palatine processes and manifesting as a separation of the roof of the mouth (soft and hard palate).
HP:0000189	Narrow palate	狭口蓋	口の中の天井に相当する口蓋の幅が、標準より狭い状態（たとえば-２SD（標準偏差）以上、あるいは明らかに狭い状態）	Width of the palate more than 2 SD below the mean (objective) or apparently decreased palatal width (subjective).
HP:0000193	Bifid uvula	二分口蓋垂	割れたのどちんこ：口蓋垂(のどちんこ)が先端から二つに割れている状態	`Uvula` (FMA:55022) separated into two parts most easily seen at the tip.
HP:0000218	High palate	高口蓋	口の中の天井に相当する口蓋の高さが標準より高い状態（２SD（標準偏差)以上高いか、第一永久臼歯のあたりの口蓋の高さがその臼歯の高さの2倍以上の状態）	Height of the palate more than 2 SD above the mean (objective) or palatal height at the level of the first permanent molar more than twice the height of the teeth (subjective).
HP:0000238	Hydrocephalus	水頭症	脳脊髄液が増加して脳室(脳実質の外側の通常は少量の液体のある空間）が拡がり、そのために脳(実質）が圧迫されている状態	Hydrocephalus is an active distension of the ventricular system of the brain resulting from inadequate passage of CSF from its point of production within the cerebral ventricles to its point of absorption into the systemic circulation.
HP:0000268	Dolichocephaly	長頭	頭蓋骨が前後に長く横幅の小さい状態	"An `abnormality of skull shape` (HP:0002648) characterized by a `increased anterior-posterior diameter` (PATO:0002043),
HP:0000272,Malar flattening,平坦な頬,Underdevelopment of the malar (frontal) process of the maxilla"
HP:0000275	Narrow face	狭い顔	細面：両頬の辺りと下アゴの辺りの顔の横幅がどちらも標準より２SD小さい状態	"Bizygomatic (upper face) and bigonial (lower face) width are both more than 2 standard deviations below the mean (objective); or,
HP:0000276,Long face,長い顔,Facial height (length) is more than 2 standard deviations above the mean (objective); or"
HP:0000278	Retrognathia	下顎後退	顎が小さい：下顎の位置が後退している状態	An abnormality in which the `mandible` (FMA:52748) is `mislocalised posteriorly` (PATO:0001922).
